

NRC Optimism--Pessimism Association Lexicon
(OPAL)
Version 0.1
1 June 2013
Copyright (C) 2011 National Research Council Canada (NRC)
Contact: Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca)

1. This copy of the NRC Optimism--Pessimism Association Lexicon is to
be used for research purposes only.  Please contact NRC if interested 
in a commercial license.

2. Do not redistribute the NRC Emotion Lexicon. Please refer
interested parties to Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca).

.......................................................................

OPAL
----
The OPAL is a list of terms and their associations with optimism and pessimism. 
The lexicon was created automatically from about 140,000 tweets that had
at least one of the following hashtags: #optimism, #optimistic, #pessimism,
and #pessimistic. It may be noted that close to 120,000 tweets pertained
to optimism and only 20,000 pertained to pessimism.

Positive scores indicate association with optimism, whereas negative scores
indicate association with pessimism. The terms with scores close to 0
(on either side) are realtively weak indicators of optimism--pessimism
and can be ignored in certain applications.

.......................................................................

The list below is for bigrams.

bigram	score	NumberOfTimesCooccuredWithOptimism	NumberOfTimesCooccuredWithPessimism
part is	2.338	11	0
wait #optimistic	2.338	11	0
out better	2.338	11	0
yes it	2.338	11	0
he didn	2.338	11	0
the park	2.338	11	0
coming soon	2.338	11	0
match .	2.338	11	0
more #optimism	2.338	11	0
up just	2.338	11	0
happiest people	2.338	11	0
the lights	2.338	11	0
great is	2.338	11	0
full kinda	2.338	11	0
that to	2.338	11	0
bring !	2.338	11	0
please be	2.338	11	0
and healthy	2.338	11	0
picture of	2.338	11	0
dad '	2.338	11	0
finally feeling	2.338	11	0
and play	2.338	11	0
he wants	2.338	11	0
xd #optimistic	2.338	11	0
do and	2.338	11	0
#optimistic #grateful	2.338	11	0
take over	2.338	11	0
sort out	2.338	11	0
stronger .	2.338	11	0
hard but	2.338	11	0
this monday	2.338	11	0
wait a	2.338	11	0
#optimistic #ready	2.338	11	0
dream of	2.338	11	0
night in	2.338	11	0
have better	2.338	11	0
wear a	2.338	11	0
better by	2.338	11	0
pairs of	2.338	11	0
today that	2.338	11	0
went pretty	2.338	11	0
to pack	2.338	11	0
is tomorrow	2.338	11	0
hoping a	2.338	11	0
happy as	2.338	11	0
happens !	2.338	11	0
surprise me	2.338	11	0
turn for	2.338	11	0
are turning	2.338	11	0
darkest night	2.338	11	0
are making	2.338	11	0
let today	2.338	11	0
well done	2.338	11	0
look ahead	2.338	11	0
carry on	2.338	11	0
tickets to	2.338	11	0
money is	2.338	11	0
forward #optimism	2.338	11	0
#motivation #optimism	2.338	11	0
you stronger	2.338	11	0
sign for	2.338	11	0
the blues	2.338	11	0
planned ,	2.338	11	0
just might	2.338	11	0
road to	2.338	11	0
has something	2.338	11	0
the playoff	2.338	11	0
anymore !	2.338	11	0
bright .	2.338	11	0
been pretty	2.338	11	0
early tomorrow	2.338	11	0
cheer me	2.338	11	0
list .	2.338	11	0
to dwell	2.338	11	0
under my	2.338	11	0
this opportunity	2.338	11	0
or anything	2.338	11	0
go get	2.338	11	0
someone better	2.338	11	0
#bepositive #optimistic	2.338	11	0
shit i	2.338	11	0
always turn	2.338	11	0
work harder	2.338	11	0
best you	2.338	11	0
gone for	2.338	11	0
wednesday !	2.338	11	0
knowing what	2.338	11	0
are ahead	2.338	11	0
and 3	2.338	11	0
can catch	2.338	11	0
or break	2.338	11	0
been an	2.338	11	0
friday :	2.338	11	0
ok !	2.338	11	0
#optimism #quote	2.338	11	0
saying i	2.338	11	0
in awhile	2.338	11	0
enough #optimistic	2.338	11	0
awesome #optimism	2.338	11	0
to remind	2.338	11	0
happiness and	2.338	11	0
tan #optimistic	2.338	11	0
always works	2.338	11	0
calling it	2.338	11	0
remember it	2.338	11	0
fall on	2.338	11	0
might even	2.338	11	0
hopefully tonight	2.338	11	0
had some	2.338	11	0
notice me	2.338	11	0
fantasy football	2.338	11	0
class #optimism	2.338	11	0
let a	2.338	11	0
mind is	2.338	11	0
keep in	2.338	11	0
you from	2.338	11	0
#optimistic #lovelife	2.338	11	0
leaving the	2.338	11	0
have decided	2.338	11	0
today better	2.338	11	0
year was	2.338	11	0
although it	2.338	11	0
well hopefully	2.338	11	0
morning twitter	2.338	11	0
#optimistic #happy	2.313	119	1
day :	2.303	225	2
full kind	2.244	10	0
gonna turn	2.244	10	0
finals and	2.244	10	0
gotta wait	2.244	10	0
find beauty	2.244	10	0
every dark	2.244	10	0
negative situation	2.244	10	0
transfer window	2.244	10	0
liking the	2.244	10	0
of december	2.244	10	0
been waiting	2.244	10	0
start your	2.244	10	0
free time	2.244	10	0
comes from	2.244	10	0
head held	2.244	10	0
just around	2.244	10	0
then #optimism	2.244	10	0
negative mind	2.244	10	0
was rough	2.244	10	0
in hopes	2.244	10	0
now my	2.244	10	0
on an	2.244	10	0
about #optimism	2.244	10	0
open to	2.244	10	0
power to	2.244	10	0
run a	2.244	10	0
laugh about	2.244	10	0
for yourself	2.244	10	0
our new	2.244	10	0
set to	2.244	10	0
by christmas	2.244	10	0
followers .	2.244	10	0
get at	2.244	10	0
see your	2.244	10	0
closer than	2.244	10	0
so #optimism	2.244	10	0
wind ,	2.244	10	0
in 1	2.244	10	0
morning everyone	2.244	10	0
#optimism #fearless	2.244	10	0
more ,	2.244	10	0
up late	2.244	10	0
cheers to	2.244	10	0
cause they	2.244	10	0
half as	2.244	10	0
turning my	2.244	10	0
really matters	2.244	10	0
score !	2.244	10	0
my arms	2.244	10	0
looking pretty	2.244	10	0
yourself with	2.244	10	0
tomorrow shall	2.244	10	0
dwelling on	2.244	10	0
win ?	2.244	10	0
appreciate what	2.244	10	0
god it	2.244	10	0
he gets	2.244	10	0
for change	2.244	10	0
goal #optimistic	2.244	10	0
learned #optimistic	2.244	10	0
an improvement	2.244	10	0
wisdom teeth	2.244	10	0
alright !	2.244	10	0
get down	2.244	10	0
but ya	2.244	10	0
something #optimism	2.244	10	0
what did	2.244	10	0
one has	2.244	10	0
keep calm	2.244	10	0
sooner i	2.244	10	0
help .	2.244	10	0
ends on	2.244	10	0
in next	2.244	10	0
be fixed	2.244	10	0
anything #optimistic	2.244	10	0
our own	2.244	10	0
upside down	2.244	10	0
right things	2.244	10	0
great for	2.244	10	0
headed to	2.244	10	0
at college	2.244	10	0
over :	2.244	10	0
to clear	2.244	10	0
finals #optimistic	2.244	10	0
last month	2.244	10	0
finally have	2.244	10	0
four day	2.244	10	0
push for	2.244	10	0
the free	2.244	10	0
one point	2.244	10	0
are #optimistic	2.244	10	0
#highhopes #optimistic	2.244	10	0
some changes	2.244	10	0
like last	2.244	10	0
on right	2.244	10	0
tenner on	2.244	10	0
they aren	2.244	10	0
getting sick	2.244	10	0
top 5	2.244	10	0
#silverlining #optimism	2.244	10	0
continues .	2.244	10	0
mind if	2.244	10	0
great :	2.244	10	0
college #optimistic	2.244	10	0
have big	2.244	10	0
you least	2.244	10	0
please !	2.244	10	0
things coming	2.244	10	0
sleep #optimism	2.244	10	0
made for	2.244	10	0
this upcoming	2.244	10	0
after work	2.244	10	0
the 2013	2.244	10	0
experience .	2.244	10	0
coffee &amp	2.244	10	0
lemonade .	2.244	10	0
asked me	2.244	10	0
then go	2.244	10	0
reading this	2.244	10	0
is giving	2.244	10	0
today can	2.244	10	0
surround yourself	2.244	10	0
new leaf	2.244	10	0
will succeed	2.244	10	0
of shorts	2.244	10	0
see #optimistic	2.244	10	0
sure !	2.244	10	0
have yet	2.244	10	0
of god	2.244	10	0
game to	2.244	10	0
shirt .	2.244	10	0
know your	2.244	10	0
it sounds	2.244	10	0
tomorrow ;	2.244	10	0
come around	2.244	10	0
around in	2.244	10	0
hoping and	2.244	10	0
though today	2.244	10	0
please ?	2.244	10	0
maybe some	2.244	10	0
than expected	2.244	10	0
my shift	2.244	10	0
coming together	2.244	10	0
thanksgiving break	2.244	10	0
season with	2.244	10	0
faster than	2.244	10	0
#optimistic #coys	2.244	10	0
much in	2.244	10	0
own happiness	2.244	10	0
my lucky	2.244	10	0
happy girl	2.244	10	0
one reason	2.244	10	0
thinking its	2.244	10	0
bad :	2.244	10	0
it helps	2.244	10	0
finished .	2.244	10	0
sunshine .	2.244	10	0
but trying	2.244	10	0
through to	2.244	10	0
that only	2.244	10	0
actually pretty	2.244	10	0
do now	2.244	10	0
to convince	2.244	10	0
positive day	2.244	10	0
person #optimistic	2.244	10	0
that isn	2.244	10	0
is time	2.244	10	0
push through	2.244	10	0
by friday	2.244	10	0
has started	2.244	10	0
at what	2.244	10	0
get their	2.244	10	0
sure he	2.244	10	0
trust that	2.244	10	0
#optimistic #brightside	2.244	10	0
time this	2.244	10	0
nothing i	2.244	10	0
ride .	2.244	10	0
because roses	2.244	10	0
being home	2.244	10	0
at 1	2.244	10	0
though so	2.244	10	0
always wanted	2.244	10	0
pretty bad	2.244	10	0
have ever	2.244	10	0
from them	2.244	10	0
ll meet	2.244	10	0
almost the	2.244	10	0
days this	2.244	10	0
of faith	2.244	10	0
world :	2.244	10	0
day out	2.244	10	0
my battery	2.244	10	0
planning my	2.244	10	0
can help	2.244	10	0
return .	2.244	10	0
even mad	2.244	10	0
short .	2.244	10	0
your hair	2.244	10	0
on point	2.244	10	0
only positive	2.244	10	0
the front	2.244	10	0
the apocalypse	2.244	10	0
forward ,	2.244	10	0
#optimistic #london2012	2.244	10	0
it ruin	2.244	10	0
sitting on	2.244	10	0
ill take	2.244	10	0
around to	2.244	10	0
see all	2.244	10	0
rainy days	2.244	10	0
without hope	2.244	10	0
days where	2.244	10	0
to rock	2.244	10	0
get paid	2.244	10	0
so in	2.244	10	0
behind you	2.244	10	0
it -	2.244	10	0
the ravens	2.244	10	0
they become	2.244	10	0
get drunk	2.244	10	0
when god	2.244	10	0
physics .	2.244	10	0
be wonderful	2.244	10	0
all pay	2.244	10	0
and praying	2.244	10	0
enjoy life	2.244	10	0
rest .	2.244	10	0
interview went	2.244	10	0
forgot to	2.244	10	0
keeping me	2.244	10	0
expected to	2.244	10	0
was meant	2.244	10	0
at 5	2.244	10	0
words in	2.244	10	0
happy &amp	2.244	10	0
keep smiling	2.244	10	0
side #optimism	2.244	10	0
the bar	2.244	10	0
in december	2.244	10	0
in august	2.244	10	0
shall pass	2.244	10	0
luck on	2.244	10	0
itself .	2.244	10	0
for 10	2.244	10	0
another week	2.244	10	0
#optimistic #nufc	2.244	10	0
changes ,	2.244	10	0
but by	2.244	10	0
team !	2.244	10	0
really does	2.244	10	0
starts a	2.244	10	0
still looking	2.244	10	0
show you	2.244	10	0
oh dear	2.244	10	0
the lads	2.244	10	0
so be	2.244	10	0
the nba	2.244	10	0
done before	2.244	10	0
that even	2.244	10	0
right way	2.244	10	0
tweet me	2.244	10	0
halfway through	2.244	10	0
the blessings	2.244	10	0
face ,	2.244	10	0
blessing .	2.244	10	0
mood #optimism	2.244	10	0
much that	2.244	10	0
crazy ,	2.244	10	0
news about	2.244	10	0
you with	2.244	10	0
day one	2.244	10	0
we leave	2.244	10	0
sun !	2.244	10	0
and friends	2.244	10	0
out well	2.244	10	0
my bones	2.244	10	0
begin !	2.244	10	0
re looking	2.244	10	0
day 1	2.244	10	0
promise you	2.244	10	0
people would	2.244	10	0
him in	2.244	10	0
plan ,	2.244	10	0
test today	2.244	10	0
then yesterday	2.244	10	0
he did	2.244	10	0
workout in	2.244	10	0
enjoying the	2.244	10	0
do u	2.244	10	0
change #optimism	2.244	10	0
obama was	2.244	10	0
be when	2.244	10	0
started with	2.244	10	0
to at	2.244	10	0
better luck	2.244	10	0
the england	2.244	10	0
looks promising	2.244	10	0
about where	2.244	10	0
realized i	2.244	10	0
on these	2.244	10	0
every week	2.244	10	0
him !	2.244	10	0
months #optimistic	2.244	10	0
lose my	2.244	10	0
the results	2.244	10	0
#openminded #optimistic	2.244	10	0
much needed	2.244	10	0
it took	2.244	10	0
day if	2.244	10	0
about finals	2.244	10	0
whether it	2.244	10	0
my dog	2.244	10	0
driving test	2.244	10	0
goal in	2.244	10	0
make lemonade	2.244	10	0
did u	2.244	10	0
be tough	2.244	10	0
but great	2.244	10	0
your mood	2.244	10	0
either going	2.244	10	0
the wait	2.244	10	0
productive and	2.244	10	0
cry ,	2.244	10	0
fun to	2.244	10	0
summer and	2.244	10	0
and chelsea	2.244	10	0
for lent	2.244	10	0
out early	2.244	10	0
tonight to	2.244	10	0
my pocket	2.244	10	0
was easy	2.244	10	0
join me	2.244	10	0
another .	2.244	10	0
showered ,	2.244	10	0
thankful i	2.244	10	0
good memories	2.244	10	0
just told	2.244	10	0
easier than	2.244	10	0
again tonight	2.244	10	0
new world	2.244	10	0
little less	2.244	10	0
this out	2.244	10	0
your happiness	2.244	10	0
#optimism #staypositive	2.244	10	0
in both	2.244	10	0
you there	2.244	10	0
up soon	2.244	10	0
with new	2.244	10	0
ones #optimistic	2.244	10	0
said '	2.244	10	0
the tournament	2.244	10	0
hopefully ill	2.244	10	0
not today	2.244	10	0
make or	2.244	10	0
guess this	2.244	10	0
game #optimism	2.244	10	0
the challenge	2.244	10	0
me wrong	2.244	10	0
can ,	2.244	10	0
for less	2.244	10	0
today brings	2.244	10	0
to smash	2.244	10	0
life throws	2.244	10	0
my boyfriend	2.244	10	0
st .	2.244	10	0
^_^ #optimistic	2.244	10	0
all blacks	2.244	10	0
gonna put	2.244	10	0
be found	2.244	10	0
remember to	2.244	10	0
the fridge	2.244	10	0
that exam	2.244	10	0
there i	2.244	10	0
am and	2.244	10	0
kick ass	2.244	10	0
the reasons	2.244	10	0
and finish	2.244	10	0
later #optimism	2.244	10	0
broke .	2.244	10	0
to replace	2.244	10	0
til i	2.244	10	0
be working	2.244	10	0
to :	2.244	10	0
would still	2.244	10	0
real madrid	2.244	10	0
things from	2.244	10	0
aside from	2.244	10	0
was probably	2.244	10	0
me you	2.244	10	0
im ready	2.244	10	0
one last	2.244	10	0
always hope	2.244	10	0
blessed .	2.244	10	0
came on	2.244	10	0
so now	2.244	10	0
whole life	2.244	10	0
mean tomorrow	2.244	10	0
sit down	2.244	10	0
do #optimism	2.244	10	0
what might	2.244	10	0
and doing	2.244	10	0
old ,	2.244	10	0
great morning	2.244	10	0
with where	2.244	10	0
myself this	2.244	10	0
start but	2.244	10	0
wrapped up	2.244	10	0
hahaha i	2.244	10	0
gonna stay	2.244	10	0
next 3	2.244	10	0
yes we	2.244	10	0
job tomorrow	2.244	10	0
their first	2.244	10	0
decision .	2.244	10	0
all #optimism	2.244	10	0
held high	2.244	10	0
lol but	2.244	10	0
makes for	2.244	10	0
are meant	2.244	10	0
get our	2.244	10	0
tonight with	2.244	10	0
the optimist	2.244	10	0
of christmas	2.244	10	0
to liverpool	2.244	10	0
exam #optimism	2.244	10	0
summer #optimism	2.244	10	0
blessed with	2.244	10	0
ready !	2.244	10	0
exciting things	2.244	10	0
opens #optimistic	2.244	10	0
gotta think	2.244	10	0
good morning	2.234	210	2
better things	2.198	106	1
but at	2.165	196	2
day !	2.159	659	7
to let	2.139	100	1
life #optimistic	2.109	97	1
maybe this	2.088	95	1
the bright	2.074	520	6
this !	2.067	93	1
lots of	2.034	90	1
to score	2	87	1
least it	1.999	166	2
fingers crossed	1.977	85	1
keep your	1.977	85	1
are looking	1.977	85	1
gonna make	1.965	84	1
okay .	1.965	84	1
#quote #optimism	1.941	82	1
one day	1.934	526	7
great day	1.925	448	6
thing about	1.911	152	2
hopefully tomorrow	1.904	79	1
will bring	1.878	77	1
better day	1.857	350	5
hope this	1.843	142	2
bring me	1.839	74	1
pretty good	1.829	140	2
days ,	1.825	73	1
is better	1.815	138	2
will make	1.815	138	2
can do	1.813	269	4
god has	1.811	72	1
it may	1.811	72	1
things happen	1.811	72	1
only a	1.811	72	1
there will	1.797	71	1
can change	1.797	71	1
weekend !	1.797	71	1
at least	1.795	1619	25
who knows	1.783	70	1
be better	1.774	385	6
to keep	1.763	131	2
bright side	1.748	560	9
an awesome	1.739	67	1
work !	1.709	65	1
can always	1.709	65	1
maybe it	1.7	123	2
one door	1.694	64	1
day today	1.683	121	2
year will	1.678	63	1
be great	1.675	120	2
way !	1.662	62	1
be done	1.662	62	1
smile .	1.662	62	1
will all	1.646	61	1
today !	1.634	280	5
maybe the	1.629	60	1
for next	1.629	60	1
be an	1.624	114	2
they have	1.612	59	1
one !	1.612	59	1
fresh start	1.612	59	1
works out	1.606	112	2
day but	1.595	58	1
hopefully the	1.595	58	1
door closes	1.595	58	1
but tomorrow	1.595	58	1
will turn	1.595	58	1
be in	1.585	162	3
out and	1.578	57	1
my phone	1.56	107	2
and everything	1.56	56	1
love my	1.56	56	1
than i	1.56	107	2
to try	1.551	106	2
go for	1.542	55	1
love to	1.542	55	1
hoping this	1.542	55	1
future holds	1.542	55	1
positive attitude	1.542	55	1
good thing	1.541	305	6
time !	1.532	104	2
good week	1.532	104	2
needs to	1.524	54	1
great year	1.524	54	1
season .	1.522	103	2
be alright	1.505	53	1
sometimes you	1.505	53	1
my face	1.503	101	2
at a	1.493	100	2
work today	1.486	52	1
no more	1.486	52	1
friday !	1.486	52	1
hope to	1.486	52	1
best .	1.473	98	2
hopefully it	1.473	98	2
plus side	1.473	98	2
will work	1.473	98	2
on to	1.467	51	1
productive day	1.467	51	1
best of	1.454	142	3
got this	1.447	50	1
to remember	1.447	50	1
need a	1.442	95	2
could have	1.442	95	2
get better	1.434	364	8
the best	1.43	855	19
hope today	1.427	49	1
remember that	1.427	49	1
all good	1.427	49	1
new job	1.406	48	1
far ,	1.406	48	1
your own	1.406	48	1
hopefully today	1.406	48	1
make my	1.406	48	1
have .	1.406	48	1
one step	1.406	48	1
what this	1.406	48	1
good day	1.404	1444	33
can make	1.403	135	3
next time	1.399	91	2
hoping to	1.399	91	2
hoping for	1.389	305	7
and make	1.388	90	2
can have	1.385	47	1
right !	1.385	47	1
and better	1.385	47	1
ahead of	1.376	89	2
be fine	1.365	88	2
than last	1.364	46	1
hoping the	1.364	46	1
these next	1.364	46	1
ok ,	1.364	46	1
day at	1.342	86	2
just need	1.342	86	2
each day	1.342	45	1
change the	1.342	45	1
weather is	1.342	45	1
future is	1.342	45	1
morning !	1.342	86	2
hopefully i	1.342	127	3
glad to	1.32	44	1
win tonight	1.32	44	1
all !	1.32	44	1
day so	1.32	44	1
chance to	1.307	83	2
back in	1.302	122	3
is getting	1.297	43	1
the hope	1.297	43	1
day week	1.297	43	1
ice cream	1.297	43	1
but on	1.295	82	2
you make	1.295	82	2
is on	1.295	82	2
store for	1.282	81	2
before i	1.282	81	2
goes on	1.273	42	1
days are	1.273	42	1
but today	1.273	42	1
you need	1.273	42	1
happy !	1.273	42	1
really hoping	1.273	42	1
for christmas	1.273	42	1
if your	1.273	42	1
but maybe	1.273	42	1
better than	1.26	419	11
out !	1.257	79	2
been a	1.252	191	5
will start	1.249	41	1
the house	1.249	41	1
gonna try	1.249	41	1
when one	1.249	41	1
friday ,	1.249	41	1
to being	1.249	41	1
love how	1.249	41	1
just remember	1.249	41	1
after that	1.249	41	1
my best	1.245	78	2
well at	1.245	78	2
as you	1.245	78	2
from now	1.245	78	2
after a	1.232	77	2
the plus	1.232	77	2
tomorrow :	1.229	150	4
time next	1.225	40	1
down !	1.225	40	1
can complain	1.225	40	1
myself that	1.225	40	1
good and	1.225	40	1
it this	1.225	40	1
week !	1.209	147	4
good !	1.208	111	3
might get	1.199	39	1
making the	1.199	39	1
it as	1.199	110	3
god is	1.199	39	1
be ,	1.199	39	1
awesome .	1.199	39	1
look for	1.199	39	1
the situation	1.199	39	1
not half	1.199	39	1
the car	1.199	39	1
and go	1.199	39	1
today will	1.195	322	9
the sun	1.187	214	6
make it	1.183	423	12
your head	1.178	73	2
things fall	1.173	38	1
good time	1.173	38	1
look back	1.173	38	1
only way	1.173	38	1
guess .	1.173	38	1
future !	1.173	38	1
year !	1.165	175	5
beautiful day	1.165	72	2
out in	1.162	106	3
come on	1.152	105	3
has in	1.151	71	2
too !	1.151	71	2
on ,	1.151	71	2
it with	1.147	37	1
more hours	1.147	37	1
always have	1.147	37	1
look up	1.147	37	1
my friend	1.147	37	1
have it	1.147	37	1
as planned	1.147	37	1
happen in	1.147	37	1
is great	1.147	37	1
this month	1.147	37	1
stay positive	1.146	138	4
be good	1.144	205	6
good one	1.138	137	4
from here	1.138	137	4
the morning	1.136	170	5
is still	1.133	103	3
matter what	1.131	136	4
day tomorrow	1.124	234	7
thank you	1.123	102	3
keep it	1.12	36	1
tomorrow to	1.12	36	1
best thing	1.12	36	1
life to	1.12	36	1
and look	1.12	36	1
best !	1.12	36	1
any chance	1.12	36	1
one to	1.12	36	1
my favorite	1.12	36	1
always next	1.12	36	1
means you	1.12	36	1
so glad	1.12	36	1
into the	1.103	100	3
get me	1.093	67	2
have faith	1.093	67	2
for 2	1.091	35	1
put in	1.091	35	1
that makes	1.091	35	1
life with	1.091	35	1
just put	1.091	35	1
tonight '	1.091	35	1
positive in	1.091	35	1
week has	1.091	35	1
happened .	1.091	35	1
have this	1.091	35	1
to run	1.091	35	1
over and	1.091	35	1
the future	1.084	383	12
oh well	1.083	193	6
for what	1.083	98	3
on a	1.073	379	12
day of	1.066	252	8
ll win	1.063	34	1
yes !	1.063	34	1
maybe one	1.063	34	1
let me	1.063	65	2
for sure	1.063	34	1
start my	1.063	34	1
make tomorrow	1.063	34	1
wonderful day	1.063	34	1
be amazing	1.063	34	1
you may	1.063	34	1
from this	1.063	34	1
want .	1.063	34	1
an amazing	1.063	96	3
the positives	1.063	34	1
to focus	1.063	34	1
run .	1.063	34	1
once i	1.063	34	1
best part	1.063	34	1
hope things	1.063	34	1
makes it	1.063	34	1
and maybe	1.063	34	1
got to	1.055	126	4
make this	1.052	95	3
good feeling	1.05	156	5
today was	1.049	217	7
than yesterday	1.047	64	2
to not	1.047	64	2
that bad	1.041	94	3
good news	1.037	154	5
alright .	1.033	33	1
and will	1.033	33	1
my fingers	1.033	33	1
will i	1.033	33	1
but hope	1.033	33	1
the nhl	1.033	33	1
past .	1.033	33	1
can happen	1.033	33	1
see where	1.033	33	1
are still	1.033	33	1
off ,	1.033	33	1
why not	1.033	33	1
come !	1.033	33	1
complain because	1.033	33	1
future ,	1.033	33	1
really good	1.031	123	4
tomorrow i	1.031	63	2
hope that	1.031	123	4
right ?	1.021	211	7
good year	1.02	92	3
go !	1.015	62	2
and now	1.015	62	2
day and	1.014	121	4
something good	1.006	120	4
it a	1.006	120	4
there !	1.002	32	1
job ,	1.002	32	1
to wait	1.002	32	1
out today	1.002	32	1
it off	1.002	32	1
it works	1.002	32	1
great mood	1.002	32	1
rejoice because	1.002	32	1
new people	1.002	32	1
the semester	1.002	32	1
it better	1.002	32	1
it back	1.002	32	1
premier league	1.002	32	1
make some	1.002	32	1
for new	1.002	32	1
through it	1.002	32	1
work out	1	265	9
day for	0.999	61	2
for us	0.999	61	2
be one	0.999	61	2
in store	0.997	119	4
the positive	0.989	118	4
season !	0.983	60	2
it !	0.983	289	10
to buy	0.983	60	2
thing ,	0.97	31	1
have hope	0.97	31	1
to cheer	0.97	31	1
alive .	0.97	31	1
you all	0.97	31	1
let this	0.97	31	1
sure you	0.97	31	1
thorns ,	0.97	31	1
well if	0.97	31	1
remember the	0.97	31	1
really really	0.97	31	1
was good	0.97	31	1
it i	0.97	31	1
up a	0.97	31	1
eventually .	0.97	31	1
life isn	0.97	31	1
ll still	0.97	31	1
and hope	0.966	59	2
done with	0.964	87	3
the night	0.953	86	3
like today	0.949	58	2
ll find	0.949	58	2
at my	0.949	58	2
the top	0.949	58	2
tonight will	0.938	30	1
super bowl	0.938	30	1
my christmas	0.938	30	1
could '	0.938	30	1
should have	0.938	30	1
before you	0.938	30	1
thursday .	0.938	30	1
people !	0.938	30	1
turned out	0.938	30	1
thought .	0.938	30	1
for school	0.938	30	1
be such	0.938	30	1
making a	0.938	30	1
stay up	0.938	30	1
hopefully things	0.938	30	1
coming my	0.938	30	1
finish this	0.938	30	1
good days	0.938	30	1
we might	0.938	30	1
the past	0.937	194	7
things will	0.934	248	9
that there	0.931	57	2
ll all	0.931	57	2
made it	0.931	57	2
had to	0.931	57	2
the better	0.929	84	3
start .	0.929	84	3
got my	0.917	83	3
it and	0.917	83	3
that !	0.914	56	2
to feel	0.914	56	2
get up	0.914	56	2
we got	0.914	56	2
the little	0.914	56	2
be thankful	0.914	56	2
only go	0.914	56	2
excited for	0.912	216	8
the right	0.908	162	6
things to	0.905	135	5
excited to	0.905	135	5
time for	0.905	188	7
good night	0.905	82	3
new chapter	0.904	29	1
part about	0.904	29	1
ve ever	0.904	29	1
one week	0.904	29	1
than that	0.904	29	1
it isn	0.904	29	1
forever alone	0.904	29	1
of course	0.904	29	1
this a	0.904	29	1
fun !	0.904	29	1
alarm for	0.904	29	1
year :	0.904	29	1
give you	0.904	29	1
the champions	0.904	29	1
my new	0.901	108	4
week and	0.896	55	2
2013 will	0.893	81	3
the gym	0.893	81	3
my first	0.891	107	4
really hope	0.891	107	4
reason .	0.88	80	3
get through	0.88	80	3
to beat	0.877	54	2
in our	0.877	54	2
for a	0.875	1082	42
with a	0.873	387	15
ready for	0.872	233	9
off my	0.869	28	1
finals .	0.869	28	1
cannot wait	0.869	28	1
same .	0.869	28	1
change in	0.869	28	1
in for	0.869	28	1
apart so	0.869	28	1
attempt to	0.869	28	1
and im	0.869	28	1
but good	0.869	28	1
to !	0.869	28	1
mean i	0.869	28	1
school !	0.869	28	1
guess that	0.869	28	1
me with	0.869	28	1
to wear	0.869	28	1
you did	0.869	28	1
plan on	0.869	28	1
the 1st	0.869	28	1
and only	0.869	28	1
waiting to	0.869	28	1
happy for	0.869	28	1
good :	0.869	28	1
for when	0.869	28	1
up feeling	0.869	28	1
at things	0.869	28	1
of it	0.86	281	11
bet on	0.859	53	2
soon !	0.859	53	2
will be	0.857	2073	82
out ,	0.855	78	3
life and	0.842	77	3
through this	0.84	52	2
looking good	0.84	52	2
champions league	0.84	52	2
on !	0.84	52	2
well !	0.84	52	2
day with	0.84	52	2
side .	0.834	101	4
next day	0.833	27	1
love with	0.833	27	1
well ,	0.833	298	12
funny how	0.833	27	1
your face	0.833	27	1
who is	0.833	27	1
of bed	0.833	27	1
become a	0.833	27	1
know !	0.833	27	1
to offer	0.833	27	1
positive outlook	0.833	27	1
of money	0.833	27	1
no school	0.833	27	1
the money	0.833	27	1
just have	0.828	125	5
next year	0.826	296	12
tomorrow !	0.825	198	8
to bed	0.825	149	6
yeah i	0.82	51	2
tomorrow will	0.82	416	17
fine .	0.82	51	2
hope so	0.82	51	2
it wasn	0.82	51	2
for you	0.82	124	5
things are	0.818	318	13
for today	0.816	75	3
work ,	0.816	75	3
to wake	0.816	75	3
couple of	0.814	99	4
to make	0.806	554	23
you just	0.804	122	5
will win	0.804	98	4
let the	0.803	74	3
that one	0.803	74	3
at work	0.796	121	5
good ,	0.796	121	5
hope he	0.795	26	1
everyone !	0.795	26	1
month ,	0.795	26	1
good will	0.795	26	1
least they	0.795	26	1
sign of	0.795	26	1
the problem	0.795	26	1
mean it	0.795	26	1
going .	0.795	26	1
just found	0.795	26	1
dont have	0.795	26	1
well the	0.795	26	1
hey !	0.795	26	1
thought that	0.795	26	1
beat the	0.795	26	1
you didn	0.795	26	1
with an	0.795	26	1
better about	0.795	26	1
she is	0.795	26	1
tonight ?	0.795	26	1
once you	0.795	26	1
of new	0.795	26	1
work to	0.795	26	1
the cards	0.795	26	1
come up	0.795	26	1
the '	0.795	26	1
days in	0.795	26	1
so excited	0.793	97	4
be back	0.789	73	3
morning ,	0.788	120	5
this semester	0.788	120	5
even though	0.787	167	7
better .	0.785	378	16
now on	0.78	49	2
little things	0.78	49	2
top of	0.78	49	2
be fun	0.78	49	2
things could	0.78	49	2
make sure	0.78	49	2
on your	0.775	72	3
life !	0.775	72	3
happy with	0.775	72	3
so far	0.775	258	11
may not	0.772	95	4
my future	0.763	140	6
thankful for	0.762	94	4
